Ticker,w_MV_allow,w_CVaR_allow,w_MV_long,w_CVaR_long
EQT,-0.023641621249099992,-0.03708140724942218,0.0,0.0
EFX,-0.02746319424682055,-0.009214493515738486,0.0,0.0
EQIX,0.01885673408539432,0.01931693674750803,0.0,0.0
EQR,-0.08201489053898801,-0.08483672797883594,0.0,0.0
ERIE,-0.004752769466786872,-0.005597586953042404,0.0,0.0
ESS,0.0352798920071735,0.010723356460570398,1.4087567820445938e-19,0.0
EL,-0.037300104433271905,-0.03152609665739154,1.6368182131834994e-19,0.0
EG,-0.017708636823370177,0.020612068793143715,0.0,0.005437516547269973
EVRG,0.07438428024721262,0.12010209400036809,5.47648128647337e-19,0.0
ES,-0.061989114148259965,-0.07815478075639877,0.0,0.0
EXC,0.021315444069958164,0.011957589892456873,0.0,0.008751005065032963
EXE,0.0043233456921248975,0.023092940167221528,0.0,0.0
EXPE,-0.018557704697545835,-0.01617439218434805,0.0,0.0
EXPD,0.003999931113959227,0.010686079930637684,0.003242982050316778,0.0
EXR,-0.0016510267012028088,0.076475661647777,0.0,0.0
XOM,-0.00420782408883454,-0.005595915784447714,0.016847800657955065,0.0
FFIV,0.04948851633499206,0.023181555900064755,0.0,0.0
FDS,0.03376055424525381,0.015490119163721236,4.460083286196128e-20,0.0
FICO,0.010366007708447188,-0.0211370367461154,0.0,0.0
FAST,-0.005852143686435712,0.014196804797517091,3.1526014618294325e-19,0.0
FRT,0.038647693043922134,0.013588894186767194,0.0,0.0
FDX,0.014009793409547848,0.01842690434215721,0.005385149691888034,0.0
FIS,-0.010959068300322417,0.037962550732816555,0.0,0.0
FITB,0.009285076793141344,-0.0032455833896867913,5.851096056979683e-21,0.0
FSLR,-0.0007826588034970392,-0.0017978517915129342,1.4963897352155735e-18,0.0
FE,0.03982845036182828,0.035782841802698875,0.0,0.0
FISV,-0.01579322316576832,-0.025824662437312004,0.0,0.0
F,-0.01099832474391483,0.028625279667867997,5.969148989560374e-20,0.0
FTNT,-0.022776636866503268,-0.03140210708936907,7.749067899691708e-20,0.0
FTV,0.021056797074585288,0.05351911254475448,0.0,0.0
FOXA,0.2704296888016134,0.557633473177083,0.0013079337749420563,0.012841988226918497
FOX,-0.25774301158016116,-0.5290306817632927,5.870730615333057e-19,0.0
BEN,-0.01666601044510336,0.003040591256408444,0.0,0.0
FCX,-0.0004805106070513199,0.011348743086571378,0.0,0.0
GRMN,-0.01161259580162945,0.013109607212104173,0.0,0.0
IT,0.05460593392667019,0.09345121542460721,1.3747556678792734e-21,0.0
GE,0.013925389298965404,0.04008126449098038,5.170012318565202e-19,0.0
GEN,0.021633826074524888,0.01976633854476387,0.0,0.0
GNRC,-0.0022305580098971665,0.01754715431137879,0.0,0.0
GD,-0.054075592651360596,-0.0459326789147834,4.948760451994344e-20,0.0
GIS,0.01761442485688738,0.07300639507158124,2.0464623060687238e-19,0.0
GM,-0.0012017256693544296,-0.05411935846560252,9.773243409304685e-20,0.0
GPC,-0.011378643198915473,-0.050130045137908474,2.270324621315836e-19,0.0
GILD,0.013148450074686503,-0.016979216878832297,9.998194349768597e-19,0.0
GPN,-0.0301497895477924,-0.03647552642121244,0.0,0.0
GL,-0.00021127723375104893,-0.0013596742331321134,0.0,0.014888886412590011
GDDY,-0.022245900423295013,-0.025956594863746407,1.173307606157582e-19,0.0
GS,-0.07318439872148894,-0.06789210297494808,0.0,0.0
HAL,-0.0872175525948614,-0.06567251475649015,0.0,0.0
HIG,-0.0180151349701455,-0.1142249537619798,3.819661027682325e-20,0.0
HAS,-0.027078213978914373,0.005518432827474787,0.0,0.0
HCA,0.034152690065046676,0.028272468261357656,0.0,0.0
DOC,0.025908543861914466,0.03823612728048617,0.0,0.0
HSIC,-0.01831204646154631,-0.010385266127079162,0.0,0.0
HSY,0.009240776482380232,0.018910671333207077,0.00545902557335326,0.0
HPE,0.00030871826179708486,0.014496309284116469,7.406458944151071e-20,0.0
HLT,0.07651167092903607,0.036617112162218614,2.3461836612699903e-20,0.0
HOLX,0.038437541797704096,0.014116980042656707,0.01698181507452807,0.01452100031581749
HD,0.05573264704209117,0.09397262751128645,0.0,0.0
HON,-0.05332213596494515,0.015346233246169278,0.0,0.0
HRL,0.009562908696818577,-0.00023215263619783097,0.0,0.0
HST,-0.014287342516505397,-0.01949507156954727,0.0,0.0
HWM,-0.026960789073120127,-0.03938883114462841,3.959677008060624e-19,0.0
HPQ,-0.0010685862988255958,-0.005607640803600353,4.0386701142163156e-20,0.0
HUBB,-0.00814157033180742,0.029254674794289656,0.0,0.0
HUM,-0.006908790624982059,-0.015930261865735994,0.0,0.002679540825357989
HBAN,0.022933464418143205,-0.009949280407180558,0.0,0.0
HII,0.03634659542644567,0.06313787288624018,1.4283495989424918e-20,0.0
IBM,0.010745766321123415,-0.02231658105476482,1.0886267474016975e-18,0.0
IEX,-0.013222976995265116,0.00836522472357763,0.0,0.0
IDXX,-0.0035139189714073907,0.054009102516804644,0.0,0.0
ITW,0.019304347051899613,0.03484339297505208,0.0,0.0
INCY,0.03135673366669467,0.05938831990877334,0.02172755351512551,0.0003401094247058987
IR,0.033553969126096865,-0.009042143397295262,0.0,0.0
PODD,0.016553105659450177,-0.006381919847863789,0.0,0.0
INTC,-0.017981645572250717,-0.009835259294305109,0.0,0.0
IBKR,-0.007679146173291878,-0.013243114186782428,3.2466419951506194e-20,0.0
ICE,-0.05781274904220356,-0.07047149344927149,0.0,0.0
IFF,-0.024101711903335647,-0.040063288156070936,0.0,0.0
IP,-0.0028698676673163787,-0.002465442346576745,0.0,0.0
IPG,-0.023295416786576064,0.007439275873290633,0.0,0.0
INTU,0.013473413328747302,-0.018790916857564524,0.0,0.0
ISRG,-0.038944980745469274,-0.037249368108245785,1.0897377909009504e-19,0.0
IVZ,0.0026995781049531757,-0.004675944967132906,0.0,0.0
INVH,0.0551104815611017,0.06518061171125125,0.0,0.0
IQV,-0.01711965073930888,-0.0011021605607391223,2.0283900725894095e-20,0.0
IRM,-0.03302921002109322,-0.04476518598866522,0.0,0.0
JBHT,0.03336469096018168,0.023889300482974652,0.0,0.0
JBL,0.019427331629001003,0.05845265549051041,0.002550555603984905,0.006974363010627615
JKHY,0.01103820747755421,-0.06157108990848898,0.0,0.0
J,0.04113574757846425,0.011917364754805935,0.0,0.0
JNJ,0.041838065198770695,0.026069188986142827,0.046683035947340155,0.05601066141800706
